child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,60.96904130300846,<BIAS>,child_observe_total,teacher_emotional_total,id_mn_best,child_observe_diligent,child_observe_attentive,mn_best,child_observe_interested,child_zha,count_toilets_children,teacher_social_assistance,count_register_year_2020,prov_best,child_height,child_age
ID_GQ6ONJ4FP,46.31790305152963,<BIAS>,child_observe_total,teacher_emotional_total,child_observe_diligent,child_observe_attentive,mn_best,pri_fees_amount_pv,pra_agency_questions,dc_best,child_enrolment_datedayofweek,latitude,longitude,id_mn_n,id_mn_best,child_age
ID_YZ76CVRW3,47.95110460150681,<BIAS>,mn_best,id_enumerator,id_mn_best,child_observe_diligent,longitude,child_observe_total,latitude,child_dobyear,id_team,id_facility,child_age,pri_fees_amount_4_6,teacher_emotional_total,child_zha
ID_BNINCRXH8,62.120743035099935,<BIAS>,child_observe_total,id_enumerator,longitude,child_observe_diligent,child_zha,mn_best,id_ward_n,obs_area_3,latitude,id_mn_best,child_dateweek,child_observe_attentive,count_register_gender_female,child_observe_concentrated
ID_1U7GDTLRI,43.100120494108275,<BIAS>,latitude,child_observe_total,id_mn_best,mn_best,child_observe_diligent,child_observe_attentive,id_ward,child_dobday,id_team,child_dobyear,teacher_selfcare_total,teacher_emotional_total,id_enumerator,child_age
ID_HUPM6GALH,62.373887196387074,<BIAS>,child_age,ses_proxy,child_observe_total,id_facility,child_zha,ward_best,child_observe_diligent,id_enumerator,id_facility_n,facility_type,id_ward,id_mn_best,child_observe_interested,teacher_emotional_total
ID_RLC7D66D6,41.576331943083304,<BIAS>,child_observe_total,child_observe_diligent,delta_monthobs_datechild_dob,child_height,child_observe_attentive,obs_area_6,count_children_present,teacher_selfcare_total,pri_fees_amount_pv,teacher_emotional_total,id_team,id_mn_best,child_age,mn_best
ID_3IDOXBRX5,45.35031984062266,<BIAS>,child_observe_total,teacher_emotional_total,child_observe_attentive,child_zha,child_observe_diligent,child_height,teacher_selfcare_total,latitude,pri_fees_amount_pv,longitude,id_mn_best,id_enumerator,mn_best,child_age
ID_5HF27TNFX,48.30996930020691,<BIAS>,id_enumerator,id_mn_best,child_observe_total,mn_best,child_observe_diligent,child_zha,longitude,teacher_selfcare_total,child_observe_attentive,child_dobyear,child_dobday,pri_fees_amount_pv,teacher_emotional_total,child_age
ID_C9RZNXMYF,50.502328174958656,<BIAS>,teacher_emotional_total,child_observe_total,child_observe_diligent,longitude,child_dateweek,teacher_emotional_met,child_dobweek,obs_water,id_team,child_height,child_zha,id_enumerator,id_mn_best,mn_best
ID_63GVO6496,43.65041598045972,<BIAS>,child_observe_total,id_enumerator,mn_best,id_facility,id_mn_best,child_observe_attentive,child_observe_diligent,child_dobyear,teacher_selfcare_total,latitude,teacher_social_peers,child_height,teacher_emotional_total,child_age
ID_MQDKXQO9R,35.24103624639442,<BIAS>,child_months_enrolment,pri_expense_admin,teacher_emotional_understand,child_zha,teacher_social_peers,id_facility,child_enrolment_datedayofweek,child_observe_diligent,id_enumerator,child_observe_attentive,teacher_social_assistance,child_age,id_mn_best,child_observe_total
ID_8NHEV4JYV,21.053088284401813,<BIAS>,teacher_emotional_understand,child_enrolment_datedayofweek,child_observe_concentrated,language_child,mn_best,child_zha,pri_time_open_minutes,longitude,id_team,id_mn_best,child_observe_attentive,child_observe_diligent,child_age,child_observe_total
ID_49Q0B09ZE,45.94004077003726,<BIAS>,child_observe_total,child_age,child_observe_diligent,id_facility,facility_type,child_observe_attentive,ward_best,id_ward,ses_proxy,teacher_emotional_understand,id_mn_best,teacher_social_peers,teacher_emotional_total,id_enumerator
ID_OFDARJRN8,30.66969484846749,<BIAS>,child_height,teacher_social_total,language_assessment,id_ward,teacher_emotional_total,child_observe_diligent,prov_best,longitude,child_observe_attentive,id_mn_best,pri_name_network_forum,id_enumerator,child_observe_total,child_age
ID_SUUJWQCUK,61.249182752404806,<BIAS>,child_age,child_observe_total,pri_fees_amount_pv,ses_proxy,id_enumerator,child_observe_attentive,pri_fees_amount,id_ward,child_observe_diligent,child_zha,facility_type,child_dobday,pri_fees_amount_4_6,teacher_emotional_total
ID_LSRZPR784,55.19558941848107,<BIAS>,teacher_emotional_total,child_dateweek,mn_best,id_facility,child_observe_total,id_enumerator,child_observe_diligent,id_mn_best,id_mn_n,child_observe_attentive,count_register_year_2017,child_dobday,child_height,child_age
ID_W0L3EEXNX,39.77236565975496,<BIAS>,teacher_emotional_total,child_observe_total,child_observe_attentive,child_observe_diligent,id_enumerator,ses_proxy,pri_education,child_height,pri_fees_amount_pv,id_mn_best,latitude,id_dc_best,mn_best,child_age
ID_O5WURWYLF,38.37926223341938,<BIAS>,id_enumerator,child_height,child_zha,teacher_social_total,teacher_emotional_total,teacher_selfcare_total,language_assessment,child_dateweek,child_observe_diligent,id_team,id_mn_best,child_observe_attentive,child_age,child_observe_total
ID_EQAZQ4SZ7,61.295238247155254,<BIAS>,child_observe_total,child_age,child_zha,child_observe_diligent,child_observe_attentive,child_observe_interested,teacher_social_total,child_dobday,id_mn_best,teacher_selfcare_total,id_facility,child_dobweek,ses_proxy,teacher_emotional_total
ID_UXL36DZL7,56.83332448999003,<BIAS>,teacher_emotional_total,child_observe_total,mn_best,child_dobweek,id_mn_best,child_zha,child_observe_diligent,pqa_score_teaching,count_staff_all,obs_area_3,child_dobyear,child_dobday,child_observe_interested,teacher_selfcare_total
